kindergarten_id,phone,mail,description
1,052-7534788,,
2,052-2739819,,
3,054-5942332,,
4,054-3052121,,
5,054-9291997,,
6,050-754-2437,,
7,052-6426744,,
8,,,
9,050-221-2541,,
10,37322490,,
11,054-5489878,,
12,03-5719759,,
13,03-6725169,,
14,03-5094497,,
15,03-5719758,,
16,03-571-9756,,
17,,,
18,03-5716601,,
19,,,
20,,,
21,054-9718988,,
22,054-669-8939,,
23,,,
24,052-5723388,,
25,052-6693445,,
26,054-2436690,,
27,054-9475406,,
28,,,
29,052-3582935,,
30,,,
31,054-6470575,,
32,054-4421245,,
33,09-7428144,,
34,054-6498352,,
35,09-7673568,,
36,054-8070898,,
37,09-7652012,,
38,052-569-7788,,
39,09-768-7267,,
40,09-7414546,,
41,09-7480307,,
42,054-4225044,,
43,09-7658716,,
44,054-3322848,,
45,050-7926059,,
46,054-3452926,,
47,,,
48,09-7655205,,
49,054-5803992,,
50,09-7674248,,
51,09-7679186,,
52,09-7891957,,
53,053-242-2295,,
54,,,
55,054-630-7689,,
56,,,
57,077-702-7788,,
58,,,
59,,,
60,050-719-2245,,
61,03-717-2472,,
62,03-676-1508,,
63,03-574-6093,,
64,03-574-6093,,
65,03-574-6067,,
66,050-452-5230,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,03-505-4934,,
74,03-574-6053,,
75,03-571-9753,,
76,03-574-6068,,
77,03-574-6068,,
78,03-540-6172,,
79,03-573-0674,,
80,,,
81,,,
82,054-815-1511,,
83,054-789-7321,,
84,09-950-3570,,
85,09-950-3278,,
86,054-439-4918,,
87,,,
88,,,
89,09-956-4504,,
90,09-954-1277,,
91,073-758-9012,,
92,,,
93,,,
94,,,
95,09-954-4302,,
96,09-954-4037,,
97,073-702-7891,,
98,09-951-3896,,
99,052-6004913,,
100,052-274-0863,,
101,052-440-1316,,
102,09-950-0101,,
103,03-5185730,,
104,03-6587804,,
105,03-7300845,,
106,03-6589236,,
107,03-9715656,,
108,03-6394870,,
109,03-9669904,,
110,03-6968603,,
111,03-9491131,,
112,03-5527127,,
113,03-6290462,,
114,03-7305861,,
115,03-6870555,,
116,03-6870239,,
117,03-5061559,,
118,03-5284230,,
119,03-6443891,,
120,03-6964832,,
121,03-7392690,,
122,03-6817650,,
123,03-7393514,,
124,03-7394005,,
125,03-6414825,,
126,03-6423660,,
127,03-6839648,,
128,03-6960437,,
129,03-5711974,,
130,03-6991990,,
131,03-6876692,,
132,03-7267274,,
133,03-5754046,,
134,076-8009023,,
135,03-7394005,,
136,03-6236499,,
137,03-7393514,,
138,03-7394668,,
139,03-5467348,,
140,03-5062525,,
141,03-6041789,,
142,03-6582555,,
143,03-6487799,,
144,03-7391079,,
145,03-6821060,,
146,03-6815288,,
147,03-6484598,,
148,03-6492329,,
149,03-5441965,,
150,03-9014794,,
151,03-6826616,,
152,03-6162976,,
153,03-7394846,,
154,03-7602145,,
155,03-7602145,,
156,03-7602145,,
157,03-5406211,,
158,,,
159,03-6419364,,
160,03-5258230,,
161,03-5490215,,
162,03-5405316,,
163,03-5186888,,
164,,,
165,03-5497463,,
166,03-5175932,,
167,03-5474890,,
168,03-5408152,,
169,03-5497234,,
170,03-6496028,,
171,03-5497450,,
172,03-5406221,,
173,03-6885419,,
174,03-5477180,,
175,03-5258230,,
176,03-5408113,,
177,03-5175952,,
