kindergarten_id,name,address,region,min_age,max_age,capacity,num_of_teachers,open_time,close_time,phone
1,גן הבית של מירב,וייצמן 32,גבעתיים,0.3,3.5,3,1,07:30,17:00,052-7534788
2,גן גורים,הצנחנים 27,גבעתיים,0.3,1.5,6,2,07:30,16:30,052-2739819
3,גן גנדנה,ביאליק 4,גבעתיים,1,3,8,2,07:30,16:30,054-5942332
4,גן נמשים,גולומב 10,גבעתיים,3,6,20,3,07:30,16:30,054-3052121
5,גן אחר,ריינס 38,גבעתיים,0.5,3,35,8,07:30,16:30,054-9291997
6,הגן האקולוגי,שביל האספרגוס 34,גבעתיים,0.5,3,20,4,07:30,17:00,050-754-2437
7,הגן של אביה,שנקין 19,גבעתיים,0.3,3,18,4,07:30,16:30,052-6426744
8,הגן של אלכס,משמר הירדן 22,גבעתיים,0.5,3,20,5,07:30,16:30,
9,משפחתון החברים של אילנה,שדרות הצנחנים 6 רמת גן,רמת גן,0.3,3,6,2,07:00,18:00,050-221-2541
10,גן ויצו גבעתיים,שדה בוקר 14,גבעתיים,0.3,3,25,5,07:00,16:00,37322490
11,גן בגן,"הרא""ה 11",רמת גן,1,3,17,4,07:30,16:30,054-5489878
12,גן דרור,המעין 1,גבעתיים,4,5,29,3,08:30,15:30,03-5719759
13,גן חצב,אהרון שר 3,גבעתיים,4,5,32,4,08:30,15:30,03-6725169
14,גן סתיוונית ,ריינס 2,גבעתיים,3,4,30,5,08:30,15:30,03-5094497
15,גן סנונית,רותם 4,גבעתיים,4,5,28,4,08:30,15:30,03-5719758
16,הגן של דפנה,ז'בוטינסקי 22,גבעתיים,0.3,3,20,6,07:30,17:00,03-571-9756
17,גן הבית של אדל,הצנחנים 11,גבעתיים,0.3,3,15,4,07:30,16:00,
18,גן סיגל אומנויות,שדה בוקר 8,גבעתיים,0.3,5,35,7,07:30,17:00,03-5716601
19,הגן של מיכל,"הל""ה 58",גבעתיים,1.6,3.8,14,3,07:15,16:30,
20,הפעוטון שלנו,אילת 8,גבעתיים,0.3,3,30,7,07:30,17:00,
21,המשפחתון של יפעת,ישראל טרייבר 59,גבעתיים,0.1,3,24,5,07:30,16:30,054-9718988
22,גן שקד,צהל 28,גבעתיים,0.3,3,39,9,07:15,16:45,054-669-8939
23,גן הבית הקסום,דויד אלעזר 6,כפר סבא,1,3,60,6,07:00,17:00,
24,גן הבית של ורוניקה,סוקולוב 15,כפר סבא,0.6,3.5,30,4,07:00,17:00,052-5723388
25,גן שוש,הדר 1,כפר סבא,0.3,3,20,3,07:00,16:00,052-6693445
26,גן אנדנדינו,גולומב 5,כפר סבא,0.3,3,20,2,07:00,17:00,054-2436690
27,משפחתון קרינה,סירני 2,כפר סבא,0.3,3,15,3,07:00,17:00,054-9475406
28,המשפחתון של קלאודיה,משעול הקלע,כפר סבא,0.3,3,8,1,07:00,17:00,
29,גן דרור,"רחוב ל""ה 16",כפר סבא,0.3,3,30,4,07:00,17:00,052-3582935
30,גן חיבוקאלה,אוסטשינסקי 23,כפר סבא,0.3,3,20,3,07:00,17:00,
31,גן שניניגן,השחר 6,כפר סבא,0.3,3,50,6,07:00,17:00,054-6470575
32,גן דקלה,רחל המשוררת,כפר סבא,0.8,3,32,4,07:20,16:45,054-4421245
33,גן קטקטים,גאולה 31,כפר סבא,0.7,2.8,20,3,07:00,16:45,09-7428144
34,גן הארץ הקטנה,הגליל 56,כפר סבא,0.6,3,20,2,07:00,17:00,054-6498352
35,"מעון חב""ד",רופין 30,כפר סבא,0.3,1,15,2,07:00,16:00,09-7673568
36,גן הילדים בירוקה,רפפורט 3,כפר סבא,0.3,3.6,40,3,07:00,16:45,054-8070898
37,גן דוריס,התאנה 3,כפר סבא,0.3,4,40,4,07:00,17:00,09-7652012
38,גן החלומות,שאול המלך 5,כפר סבא,0.3,3,40,5,07:00,17:00,052-569-7788
39,גן פצפוני אורנים,יגאל ידין 2,כפר סבא,0.4,2.6,45,4,07:00,17:00,09-768-7267
40,גן דינה,המעפילים 18,כפר סבא,1.4,4,30,4,07:00,17:00,09-7414546
41,גן אגדת ילדים,ניצנים 11,כפר סבא,0.3,4,40,4,07:45,16:45,09-7480307
42,גן לב הזהב בקאנטרי כפר סבא,בן יהודה 23,כפר סבא,0.3,4,30,3,07:00,17:00,054-4225044
43,גן ליבנה,העמק 28,כפר סבא,5,6,34,4,07:00,17:00,09-7658716
44,גן מתנות קטנות,האילנות 20,כפר סבא,0.6,3,35,4,07:00,17:00,054-3322848
45,גן בא-לי גן,יאנוש קורצ'ק 10,כפר סבא,0.11,3,20,3,07:00,17:00,050-7926059
46,הגן של שני ואלינור,ישראל ישעיהו 5,כפר סבא,0.5,3.6,30,4,07:00,17:00,054-3452926
47,גן יעל,חבצלת השרון 13,כפר סבא,0.4,3,24,3,07:15,16:30,
48,גן הדס,אהרונוביץ' 15,כפר סבא,4,5,20,3,07:00,13:00,09-7655205
49,הגן של לימורי,טשרניחובסקי 4,כפר סבא,1,4,35,4,07:00,16:30,054-5803992
50,גן חרצית,אביבים 10,כפר סבא,4,5,27,3,07:30,14:00,09-7674248
51,אלמוגן,פשוש 6,כפר סבא,4,6,30,2,07:30,14:00,09-7679186
52,גן תלתן,"רש""י 9",כפר סבא,4,6,30,4,07:30,14:00,09-7891957
53,משפחתון גן כוכב,שדרות צנחנים 18,רמת גן,0.9,2,24,3,07:30,16:45,053-242-2295
54,גן מדינת הילדים,שדרות צנחנים 11,רמת גן,0.4,3,20,2,07:30,16:30,
55,גן בייבי קונסרבטוריון,שמעוני 10,רמת גן,0.3,3,25,3,07:00,17:00,054-630-7689
56,גן עינב (הגן הקסום),תל חי 36,רמת גן,0.4,3,20,3,07:00,16:00,
57,גן אמנויות נילי,תל חי 68,רמת גן,0.3,3,36,5,07:00,17:00,077-702-7788
58,גן פעוטון דרקונצ'יק,תל חי 47,רמת גן,0.3,3,30,6,07:00,17:00,
