comment_id,kindergarten_id,parent_id,comment,grade,date,
1,1,1,"פעוטון משפחתי עם צוות חם ואוהב, מטפלות מסורות והכי חשוב הילד מגיע ויוצא עם חיוך מהגן!",5,2018-06-23,
2,1,2,"הבת שלי שם מגיל 4 חודשים ותהיה עד גיל 3 לפחות! גן מושלם, נקי ומסודר, צוות מדהים, רך וקשוב לצרכי הפעוטות",5,2022-05-14,
3,1,3,"זכינו להכיר צוות חם אוהב ומקבל, עם המון סבלנות ומתן יחס אישי וקרוב. אין ספק שעשינו את הבחירה הנכונה!",5,2021-08-03,
4,2,4,עומר שלנו נמצא בגן כבר יותר משנה ואנחנו מאוד מאוד מרוצים! מהרגע הראשון שנכנסנו לגן הרגשנו כמו משפחה.,5,2020-07-05,
5,2,5,איזה כיף זה לשלוח את הבת שלנו לגן כשאת פניה מקבל צוות חייכן ונעים שרואים שאוהב את העבודה שלו בזמנים כאלה זה מאוד מרגיע לקבל תחושה של ביטחון וחום אנחנו מרוצים מאוד מהבחירה שלנו וממליצים,5,2022-12-02,
6,3,6,"אחרי ״מסע חיפושים״ אחר הגן הנכון , אני יודע ומרגיש שזו הייתה הבחירה הנכונה ביותר עבורנו ועבור אלי. כשאלי פוגשת בבוקר את הגננת והצוות היא מתמלאת באושר ולא מפסיקה לחייך וכך גם כשאנחנו באים לקחת אותה. אלי נמצאת בפיקוח מקצועי ובהשגחה מתמדת לאורך כל היום, הגן מספק עבורה פעילות מלאה בגירוי התפתחותי, הצוות תמיד מחייך. יש תקשורת עם הגן לאורך כל היום. הגן מחוסן. מומלץ בחום.",5,2022-11-03,
7,3,7,"גן נעים מאוד וצבעוני, עם צוות מדהים, מסור ומקצועי שנותן יחס חם ועושה הכל כדי שלילדים יהיה טוב. מעדכנים אותנו בכל פרט קטן ומקבלים המון תמונות ועדכונים על הנעשה בגן. הצוות מקסים, אכפתי, ואוהב. מומלץ מאוד",5,2022-09-11,
8,5,8,"גן מהמם ביופי, נקי ומסודר עם המון משחקים מושקעים, אוכל בריא, צוות מקצועי אכפתי ורגיש. אנחנו שנה ראשונה בגן ולמרות ההסתגלות והלחץ של אמא טרייה מאד מרוצה מהגן.",5,2021-10-08,
9,5,9,"התאומים שלי היו בו וכעת נמצא אחיהם הקטן. בגן הזה יש רמה של איכפתיות, טיפול, חום מדהימה. הילדים הולכים עם חיוך וחוזרים עם חיוך. יש השקעה בהפעלות בהתאם לקבוצות הגיל, מזון טעים שמבושל מדי יום, ותמונות יומיות כדי לחוות ביחד עם הילדים את הכל ביחד.",5,2022-11-05,
10,5,10,"לגן יש יחס חם ואוהב לכל ילד. יש מגוון רחב של פעילויות מלאות בהשקעה בילדים וההשקעה ניכרת בהתפתחות הילדים (אנחנו מוצאים את עצמנו מופתעים המון ממשהו חדש שהילדה למדה ולא מאיתנו). הגן תמיד נקי והילדים מתוקתקים, האוכל ברמה גבוהה ויש אירועים מושקעים",5,2023-02-24,
11,6,11,"אני מאוד מרוצה מהגן. היחס לילדים מעולה, הגן מפתח עצמאות אצל הילדים. הפעילויות מאוד מאוד מגוונות, האוכל טעים ומזין. כל האירועים בגן מושקעים מאוד. כל ילד מקבל יחס אישי. מאוד מקפידים בגן על ניקיון. אני אמשיך לשלוח את בני לגן הזה גם בשנה הבאה.",5,2023-01-21,
12,6,12,"הכנסנו את אביב לגן בחששות, בכל זאת ילד ראשון ומאוד דאגנו. לאחר כמה ימים כבר נוכחנו לדעת שהילד בידיים מעולות, הצוות משקיע, אוהב וחם ואין מאושרים מאיתנו שהוא שם.",4,2022-03-29,
13,6,13," הגן נקי, הכל צבעוני, צוות מספר 1, אוכל טרי כל יום, ילדים מאושרים , מגוון פעילויות מעשירות לילדים, חום ואהבה אף פעם היה חסר. דאגה לילדים במקום הראשון. פשוט גן מהמם . ממליצה בחום לכולם",5,2023-01-18,
14,7,14,"הילד שלי נכנס לגן בגיל 11 חודשים והיה לו ממש קשה בהתחלה אבל עם הזמן הוא התרגל לגן ולצוות המדהים שעטפו אותו בחום ובאהבה. הילד חוזר כל יום נקי ושמח ואני מאוד מרוצה מהצוות על הדאגה והטיפול בילד שלי, ממליצה בחום!",4,2022-07-21,
