kindergarten_id,name,address,region,min_age,max_age,kids_acount,capacity,num_of_teachers,open_time,close_time,has_parking
1,גן הבית של מירב,וייצמן 32,גבעתיים,3,41,3,3,1,07:30,17:00,
2,גן גורים,הצנחנים 27,גבעתיים,3,17,5,6,2,07:30,16:30,
3,גן גנדנה,ביאליק 4,גבעתיים,12,36,6,8,2,07:30,16:30,
4,גן נמשים,גולומב 10,גבעתיים,36,72,15,20,3,07:30,16:30,
5,גן אחר,ריינס 38,גבעתיים,5,36,20,35,8,07:30,16:30,
6,הגן האקולוגי,שביל האספרגוס 34,גבעתיים,5,36,17,20,4,07:30,17:00,
7,הגן של אביה,שנקין 19,גבעתיים,3,36,14,18,4,07:30,16:30,
8,הגן של אלכס,משמר הירדן 22,גבעתיים,5,36,18,20,5,07:30,16:30,
9,משפחתון החברים של אילנה,שדרות הצנחנים 6 רמת גן,רמת גן,3,36,4,6,2,07:00,18:00,
10,גן ויצו גבעתיים,שדה בוקר 14,גבעתיים,3,36,24,25,5,07:00,16:00,
11,גן בגן,"הרא""ה 11",רמת גן,12,36,17,17,4,07:30,16:30,
12,גן דרור,המעין 1,גבעתיים,48,60,20,29,3,08:30,15:30,
13,גן חצב,אהרון שר 3,גבעתיים,48,60,28,32,4,08:30,15:30,
14,גן סתיוונית ,ריינס 2,גבעתיים,36,48,23,30,5,08:30,15:30,
15,גן סנונית,רותם 4,גבעתיים,48,60,22,28,4,08:30,15:30,
16,הגן של דפנה,ז'בוטינסקי 22,גבעתיים,3,36,16,20,6,07:30,17:00,
17,גן הבית של אדל,הצנחנים 11,גבעתיים,3,36,13,15,4,07:30,16:00,
18,גן סיגל אומנויות,שדה בוקר 8,גבעתיים,3,60,27,35,7,07:30,17:00,
19,הגן של מיכל,"הל""ה 58",גבעתיים,18,44,10,14,3,07:15,16:30,
20,הפעוטון שלנו,אילת 8,גבעתיים,3,36,20,30,7,07:30,17:00,
21,המשפחתון של יפעת,ישראל טרייבר 59,גבעתיים,1,36,19,24,5,07:30,16:30,
22,גן שקד,צהל 28,גבעתיים,3,36,30,39,9,07:15,16:45,
23,גן הבית הקסום,דויד אלעזר 6,כפר סבא,12,36,45,60,6,07:00,17:00,
24,גן הבית של ורוניקה,סוקולוב 15,כפר סבא,6,41,19,30,4,07:00,17:00,
25,גן שוש,הדר 1,כפר סבא,3,36,8,20,3,07:00,16:00,
26,גן אנדנדינו,גולומב 5,כפר סבא,3,36,13,20,2,07:00,17:00,
27,משפחתון קרינה,סירני 2,כפר סבא,3,36,9,15,3,07:00,17:00,
28,המשפחתון של קלאודיה,משעול הקלע,כפר סבא,3,36,5,8,1,07:00,17:00,
29,גן דרור,"רחוב ל""ה 16",כפר סבא,3,36,24,30,4,07:00,17:00,
30,גן חיבוקאלה,אוסטשינסקי 23,כפר סבא,3,36,20,20,3,07:00,17:00,
31,גן שניניגן,השחר 6,כפר סבא,3,36,38,50,6,07:00,17:00,
32,גן דקלה,רחל המשוררת,כפר סבא,8,36,23,32,4,07:20,16:45,
33,גן קטקטים,גאולה 31,כפר סבא,7,32,12,20,3,07:00,16:45,
34,גן הארץ הקטנה,הגליל 56,כפר סבא,6,36,15,20,2,07:00,17:00,
35,"מעון חב""ד",רופין 30,כפר סבא,3,12,10,15,2,07:00,16:00,
